# %ECSV 0.9
# ---
# datatype:
# - {name: e_ref, unit: keV, datatype: float64}
# - {name: e_min, unit: keV, datatype: float64}
# - {name: e_max, unit: keV, datatype: float64}
# - {name: dnde, unit: 1 / (cm2 s TeV), datatype: float64}
# - {name: dnde_ul, unit: 1 / (cm2 s TeV), datatype: float64}
# - {name: dnde_err, unit: 1 / (cm2 s TeV), datatype: float64}
# - {name: dnde_errp, unit: 1 / (cm2 s TeV), datatype: float64}
# - {name: dnde_errn, unit: 1 / (cm2 s TeV), datatype: float64}
# - {name: is_ul, datatype: bool}
# meta: {SED_TYPE: dnde}
# schema: astropy-2.0
e_ref e_min e_max dnde dnde_ul dnde_err dnde_errp dnde_errn is_ul
649381.677944176 562341.3749999999 749894.2499999998 nan nan nan nan nan False
865964.3739025238 749894.2499999998 1000000.0624999995 nan nan nan nan nan False
1154782.0501484652 1000000.0624999995 1333521.499999999 2.0403547293440372e-05 2.1975535799652183e-05 7.707439118871414e-07 7.783398520150018e-07 7.631728083066538e-07 False
1539926.6041793185 1333521.499999999 1778279.4999999995 1.231130817023389e-05 1.3294109963377659e-05 4.809691612825158e-07 4.861451133351888e-07 4.758193906622166e-07 False
2053525.0975975727 1778279.4999999995 2371373.749999998 7.047899649718878e-06 7.66648331695075e-06 3.0060581946238816e-07 3.04349124996353e-07 2.9705657377692154e-07 False
2738419.6987604094 2371373.749999998 3162277.749999998 4.734719821074504e-06 5.150114906187089e-06 2.0241922374551713e-07 2.0503654098209726e-07 1.998208351129395e-07 False
3651741.3095711935 3162277.749999998 4216964.999999998 2.7338653415485315e-06 3.0039550697599363e-06 1.3112943484010027e-07 1.3307431819729479e-07 1.2919935104583705e-07 False
4869675.339283664 4216964.999999998 5623413.499999995 1.7254165859880474e-06 1.907371132392375e-06 8.810946309663085e-08 8.953695803483281e-08 8.66937543688381e-08 False
6493816.635094015 5623413.499999995 7498942.500000006 1.0467695824663936e-06 1.1684358478929729e-06 5.863311851132914e-08 5.96945214835664e-08 5.759603639707652e-08 False
8659643.468411393 7498942.500000006 10000000.000000006 6.310238627494773e-07 7.115954305095997e-07 3.872874682798458e-08 3.950180109250843e-08 3.7964092187163826e-08 False
11547820.14061529 10000000.000000006 13335215.000000006 3.80332216313515e-07 4.34203733573883e-07 2.5772943190629665e-08 2.6349881975659767e-08 2.520351006309204e-08 False
15399265.608811015 13335215.000000006 17782793.99999997 2.39052048864641e-07 2.762806869785052e-07 1.7742238945334748e-08 1.8175843095902552e-08 1.7313833933122926e-08 False
20535250.615075793 17782793.99999997 23713737.999999966 1.4047956175040755e-07 1.6517933514499817e-07 1.1699148638225525e-08 1.2022498625130427e-08 1.1380173712782017e-08 False
27384197.49279068 23713737.999999966 31622778.00000002 7.30335369666718e-08 8.844834161876927e-08 7.227052228585826e-09 7.465453692575487e-09 6.992525696410325e-09 False
36517414.25037177 31622778.00000002 42169651.999999955 5.316458548246787e-08 6.445848087558803e-08 5.292908614783345e-09 5.4686427406297546e-09 5.120004944549736e-09 False
48696753.24867219 42169651.999999955 56234132.0000001 2.3405219561649135e-08 2.998730191691901e-08 3.026050636242696e-09 3.157333905436875e-09 2.8975030928101607e-09 False
64938164.18578505 56234132.0000001 74989424.0 1.0361485200033235e-08 1.4258464298314333e-08 1.74365889651275e-09 1.843601293087457e-09 1.6489936075934388e-09 False
86596434.10672297 74989424.0 100000000.00000018 7.655209755845654e-09 1.0554045439440729e-08 1.2990303946038217e-09 1.3733533031326104e-09 1.2267158260157985e-09 False
115478198.80826008 100000000.00000018 133352144.00000018 4.629483410113193e-09 6.611528839542358e-09 8.769058431770442e-10 9.331657144515803e-10 8.224960544075315e-10 False
153992650.8918359 133352144.00000018 177827936.00000024 3.12451761491743e-09 4.547794469067483e-09 6.255879132457379e-10 6.680419710142795e-10 5.845994936052691e-10 False
205352502.10926586 177827936.00000024 237137376.00000027 1.863814490617109e-09 2.8338190046927e-09 4.2004560633230975e-10 4.52051564470584e-10 3.8928752029527615e-10 False
273841970.8864147 237137376.00000027 316227776.00000054 5.0516591222978e-10 9.881784296829522e-10 1.9084093349923007e-10 2.1553697219445604e-10 1.6763394197070626e-10 False
365174136.7302967 316227776.00000054 421696511.9999996 5.357436637994191e-10 9.49648126054534e-10 1.694820175678516e-10 1.8780229399584906e-10 1.521105048936035e-10 False
486967524.4037364 421696511.9999996 562341312.0000002 1.2257016122185075e-10 3.231524546398318e-10 7.078657112953303e-11 8.501980548017082e-11 5.7873504186660604e-11 False
649381623.3832934 562341312.0000002 749894208.0000008 1.251208433302221e-10 2.9649498457358633e-10 6.263134682379297e-11 7.380454630193025e-11 5.288841366766509e-11 False
865964322.5907176 749894208.0000008 999999999.9999993 7.538581208561095e-11 1.9941368503256614e-10 4.35285064740934e-11 5.2461895474822856e-11 3.57095978642882e-11 False
1154781974.22717 999999999.9999993 1333521408.0000014 6.401166475490052e-11 1.6881232203045875e-10 3.695807192642347e-11 4.440920303267646e-11 3.022958642276143e-11 False
1539926518.152704 1333521408.0000014 1778279423.9999993 1.957621811306129e-11 8.839950287233035e-11 1.9576543277383735e-11 2.6639971399157844e-11 1.3701531548493178e-11 False
2053525085.756538 1778279423.9999993 2371373824.0000005 -2.302355386696556e-09 4.460521996797887e-11 6.069751311861395e-07 1.4343902627154167e-07 6.914541185841468e-07 True
